t_id,s_id,latitude,longitude,Availability,street,city,zipcode,model,x,y
S1-T1,S1,48.855667,2.354089,0.0,4 PLACE SAINT GERVAIS,Paris,75004,"T3, E/F, CHAdeMO, Combo, T2",7263.558638461773,4527.050439999902
S1-T2,S1,48.855667,2.354089,1.0,4 PLACE SAINT GERVAIS,Paris,75004,E/F,7263.558638461773,4527.050439999902
S1-T3,S1,48.855667,2.354089,1.0,4 PLACE SAINT GERVAIS,Paris,75004,"E/F, CHAdeMO, T2, T3, Combo",7263.558638461773,4527.050439999902
S10-T1,S10,48.86424,2.397724,0.0,13 AVENUE DU PÈRE LACHAISE,Paris,75020,"Combo, T3, T2, CHAdeMO, E/F",10462.151632530533,5481.396800000513
S10-T2,S10,48.86424,2.397724,0.0,13 AVENUE DU PÈRE LACHAISE,Paris,75020,E/F,10462.151632530533,5481.396800000513
S10-T3,S10,48.86424,2.397724,0.0,13 AVENUE DU PÈRE LACHAISE,Paris,75020,"CHAdeMO, E/F, Combo, T3, T2",10462.151632530533,5481.396800000513
S11-T1,S11,48.861016,2.28308,0.0,24 AVENUE PAUL DOUMER,Paris,75016,"T2, CHAdeMO, T3, E/F, Combo",2058.358915399357,5122.501120000179
S11-T2,S11,48.861016,2.28308,1.0,24 AVENUE PAUL DOUMER,Paris,75016,E/F,2058.358915399357,5122.501120000179
S11-T3,S11,48.861016,2.28308,0.0,24 AVENUE PAUL DOUMER,Paris,75016,"T2, E/F, CHAdeMO, T3, Combo",2058.358915399357,5122.501120000179
S12-T1,S12,48.824388,2.336857,1.0,46 AVENUE REILLE,Paris,75014,"Combo, T2, CHAdeMO, T3, E/F",6000.394791233802,1045.072160000143
S12-T2,S12,48.824388,2.336857,0.0,46 AVENUE REILLE,Paris,75014,E/F,6000.394791233802,1045.072160000143
S12-T3,S12,48.824388,2.336857,1.0,46 AVENUE REILLE,Paris,75014,"Combo, T2, E/F, CHAdeMO, T3",6000.394791233802,1045.072160000143
S13-T1,S13,48.88264,2.335728,1.0,31 BOULEVARD DE CLICHY,Paris,75009,"T2, Combo, CHAdeMO, T3, E/F",5917.6352750127835,7529.684800000486
S13-T2,S13,48.88264,2.335728,0.0,31 BOULEVARD DE CLICHY,Paris,75009,E/F,5917.6352750127835,7529.684800000486
S13-T3,S13,48.88264,2.335728,0.0,31 BOULEVARD DE CLICHY,Paris,75009,"T2, T3, Combo, CHAdeMO, E/F",5917.6352750127835,7529.684800000486
S14-T1,S14,48.840977,2.317465,0.0,43 BOULEVARD DE VAUGIRARD,Paris,75015,"E/F, CHAdeMO, T3, Combo, T2",4578.895642821238,2891.75964000051
S14-T2,S14,48.840977,2.317465,0.0,43 BOULEVARD DE VAUGIRARD,Paris,75015,E/F,4578.895642821238,2891.75964000051
S14-T3,S14,48.840977,2.317465,0.0,43 BOULEVARD DE VAUGIRARD,Paris,75015,"T3, E/F, T2, CHAdeMO, Combo",4578.895642821238,2891.75964000051
S15-T1,S15,48.846295,2.3748774,1.0,2 Rue Abel,Paris,75012,"E/F, T3, Combo, CHAdeMO, T2",8787.418626954915,3483.759400000008
S15-T2,S15,48.846295,2.3748774,0.0,2 Rue Abel,Paris,75012,E/F,8787.418626954915,3483.759400000008
S15-T3,S15,48.846295,2.3748774,0.0,2 Rue Abel,Paris,75012,"E/F, Combo, CHAdeMO, T2, T3",8787.418626954915,3483.759400000008
S16-T1,S16,48.889731,2.33891,0.0,103 RUE CAULAINCOURT,Paris,75018,"T3, T2, Combo, CHAdeMO, E/F",6150.886630739291,8319.054919999986
S16-T2,S16,48.889731,2.33891,1.0,103 RUE CAULAINCOURT,Paris,75018,E/F,6150.886630739291,8319.054919999986
S16-T3,S16,48.889731,2.33891,0.0,103 RUE CAULAINCOURT,Paris,75018,"T2, CHAdeMO, E/F, T3, Combo",6150.886630739291,8319.054919999986
S17-T1,S17,48.8452653,2.4112383,0.0,4 Rue Changarnier,Paris,75012,"T3, T2, Combo, CHAdeMO, E/F",11452.795503270596,3369.1331960003886
S17-T2,S17,48.8452653,2.4112383,0.0,4 Rue Changarnier,Paris,75012,E/F,11452.795503270596,3369.1331960003886
S17-T3,S17,48.8452653,2.4112383,0.0,4 Rue Changarnier,Paris,75012,"CHAdeMO, T3, Combo, E/F, T2",11452.795503270596,3369.1331960003886
S18-T1,S18,48.846761,2.268339,1.0,2 RUE CHARDON LAGACHE,Paris,75016,"E/F, T3, CHAdeMO, T2, Combo",977.7937881948847,3535.634520000338
S18-T2,S18,48.846761,2.268339,0.0,2 RUE CHARDON LAGACHE,Paris,75016,E/F,977.7937881948847,3535.634520000338
S18-T3,S18,48.846761,2.268339,0.0,2 RUE CHARDON LAGACHE,Paris,75016,"Combo, T2, E/F, T3, CHAdeMO",977.7937881948847,3535.634520000338
S19-T1,S19,48.877409,2.392178,0.0,27 RUE DE CRIMEE,Paris,75019,"T2, CHAdeMO, T3, E/F, Combo",10055.611086063107,6947.369880000265
S19-T2,S19,48.877409,2.392178,0.0,27 RUE DE CRIMEE,Paris,75019,E/F,10055.611086063107,6947.369880000265
S19-T3,S19,48.877409,2.392178,0.0,27 RUE DE CRIMEE,Paris,75019,"E/F, T2, Combo, T3, CHAdeMO",10055.611086063107,6947.369880000265
S2-T1,S2,48.878897,2.355064,0.0,137 RUE LA FAYETTE,Paris,75010,"CHAdeMO, T3, Combo, E/F, T2",7335.029434135357,7113.01404000048
S2-T2,S2,48.878897,2.355064,0.0,137 RUE LA FAYETTE,Paris,75010,E/F,7335.029434135357,7113.01404000048
S2-T3,S2,48.878897,2.355064,0.0,137 RUE LA FAYETTE,Paris,75010,"CHAdeMO, Combo, E/F, T3, T2",7335.029434135357,7113.01404000048
S20-T1,S20,48.882718,2.319768,0.0,81 RUE DE ROME,Paris,75017,"T2, CHAdeMO, E/F, Combo, T3",4747.713327371259,7538.36775999992
S20-T2,S20,48.882718,2.319768,0.0,81 RUE DE ROME,Paris,75017,E/F,4747.713327371259,7538.36775999992
S20-T3,S20,48.882718,2.319768,0.0,81 RUE DE ROME,Paris,75017,"T2, CHAdeMO, Combo, E/F, T3",4747.713327371259,7538.36775999992
S21-T1,S21,48.8260387,2.3581456,0.0,145 Rue de Tolbiac,Paris,75013,"T3, T2, E/F, CHAdeMO, Combo",7560.921130491989,1228.8280840000323
S21-T2,S21,48.8260387,2.3581456,0.0,145 Rue de Tolbiac,Paris,75013,E/F,7560.921130491989,1228.8280840000323
S21-T3,S21,48.8260387,2.3581456,0.0,145 Rue de Tolbiac,Paris,75013,"T3, Combo, T2, E/F, CHAdeMO",7560.921130491989,1228.8280840000323
