overall,waiting,o_std,w_std
0.836708591,0.019288756,0.144124987,0.008929102
0.831933934,0.022350083,0.13588222,0.013292881
0.835392054,0.023823591,0.141450029,0.014859606
0.839192711,0.027163796,0.13938977,0.018004198
0.839767563,0.031104433,0.139681831,0.022952137
0.836182553,0.032637714,0.141793366,0.022913467
0.840838703,0.0348489,0.141420809,0.023048488
0.84270354,0.03701933,0.141448738,0.024300097
0.846344189,0.040850169,0.141030113,0.029143125
0.846362345,0.044801367,0.14105417,0.031743094
0.844242166,0.047872279,0.143688382,0.036570278
0.848723298,0.04938354,0.143048979,0.036093359
0.85328044,0.050601878,0.140082348,0.035627298
0.854275153,0.053927028,0.141725531,0.036427689
0.857939051,0.057089155,0.146847194,0.039815559
0.86338869,0.05973384,0.146646754,0.040676593
0.860437643,0.060153258,0.147432827,0.041438077
0.860491643,0.06305966,0.146091081,0.042801634
0.867269283,0.069137129,0.148273163,0.04613526
0.867950355,0.07129803,0.149446185,0.047494409
0.868768847,0.07309595,0.149741744,0.047984904
0.869364125,0.075867086,0.145607922,0.050772097
0.873827815,0.078033155,0.147178654,0.0514371
0.876795925,0.081725762,0.150475753,0.051809448
0.873206497,0.084815886,0.151257458,0.053198617
0.877488876,0.088199657,0.153738355,0.053841273
0.88408588,0.093177556,0.153384991,0.054289845
0.883137958,0.096894493,0.154035403,0.054826976
0.883844267,0.099064676,0.150989865,0.053357445
0.886479307,0.100849686,0.151481692,0.052570565
0.885419111,0.102996378,0.153006431,0.053405755
0.889603872,0.107372976,0.152455788,0.054984463
0.889899662,0.110312831,0.15271648,0.057085438
0.895134624,0.113626103,0.153474921,0.056427395
0.899144425,0.116796296,0.155363661,0.056205987
0.897161405,0.12044439,0.155786726,0.057670902
0.900543038,0.123758468,0.158666099,0.058311662
0.901459743,0.125499391,0.157574252,0.060827183
0.903697994,0.128867623,0.160991973,0.062365401
0.906258035,0.130647256,0.161585919,0.062291308
0.906081115,0.132916944,0.156919163,0.064166061
0.906385903,0.134922746,0.15821702,0.064038108
0.911143036,0.137975883,0.164438974,0.065039574
0.911642474,0.140611015,0.160361314,0.065642311
0.912808864,0.140939746,0.159309615,0.064471197
0.915359485,0.142519449,0.158200151,0.064661942
0.914527924,0.144465358,0.158501621,0.065420337
0.913733113,0.146951979,0.158459916,0.067257948
0.918440041,0.14852604,0.159666149,0.066598898
0.92763289,0.149834572,0.16741673,0.066422727
0.920818928,0.151719756,0.159422133,0.067357596
0.917995114,0.152200116,0.165745936,0.067388367
0.918433433,0.153691648,0.164542228,0.066720315
0.925465343,0.155652674,0.162636932,0.067697736
0.924145532,0.157198364,0.16077723,0.067641955
0.927140159,0.15784976,0.167985894,0.067504887
0.92955493,0.159523997,0.162848939,0.066598309
0.931150037,0.160930577,0.162859942,0.069134368
0.930208614,0.161553372,0.163062811,0.069089436
0.930027301,0.162204836,0.163796829,0.069438489
0.927177527,0.164512597,0.164135267,0.06920535
0.932009076,0.164998617,0.171115077,0.067698448
0.927433223,0.165726593,0.172303709,0.068958011
0.930412798,0.16758036,0.170123533,0.069607671
0.931309372,0.167950468,0.167011603,0.070157107
0.931746502,0.168656127,0.170045627,0.069760789
0.935543927,0.169282703,0.16717938,0.069939814
0.932104076,0.170466038,0.169057902,0.070257196
0.934489806,0.172826409,0.165873018,0.071437901
0.936704912,0.174016765,0.168790911,0.071403017
0.934472169,0.174668312,0.167324168,0.072106373
0.933025515,0.17518794,0.166490447,0.071996143
0.933135488,0.175831853,0.169986278,0.07301708
0.933715514,0.177363778,0.171194311,0.072817467
0.933615514,0.177363778,0.171194311,0.075817467
0.934615514,0.177363778,0.171194311,0.078817467
0.935715514,0.177363778,0.17373,0.082817467
0.935815514,0.177363778,0.172655,0.085817467
0.936805514,0.177363778,0.171194311,0.086817467
0.937855514,0.178363778,0.171194311,0.088817467
0.938727,0.179296052,0.17373,0.091297114
0.93538,0.17973058,0.172655,0.091687146
0.94314,0.180705612,0.17918,0.092362141
0.94015,0.181,0.17373,0.093
0.94021,0.18199,0.172655,0.094
0.94177,0.18245,0.172655,0.094
0.94055,0.183813423,0.17427,0.095160248
0.94055,0.183813423,0.17427,0.095160248
0.94278,0.18672,0.17347,0.092362141
0.94476,0.18901,0.17347,0.093
0.94555,0.190495,0.17347,0.08109
0.94278,0.190312699,0.17561,0.095160248
0.94476,0.190495,0.17691,0.095160248
0.94555,0.190312699,0.17612,0.09642
0.9444112,0.190495,0.177,0.0978941
0.9424,0.190312699,0.177847,0.098590755
0.946127,0.1922214,0.172421,0.08814
0.947365,0.19439,0.163325,0.0812
0.94444,0.191567382,0.17936,0.099472872
1.146,0.294096734,0.17942,0.102053154
