EPOS,COHDA,MGM,greedy,distance_only,static_initial
5.650000095,6.333333492,6.840466976,7.400000095,7.400000095,8.066666603
5.716666698,7.916666508,0,5.716666698,5.716666698,7.700000286
9.949999809,10.46666718,0,10.46666718,10.46666718,7.683333874
0,0,0,0,0,0
5.900000095,5.900000095,0,5.900000095,5.900000095,8.266666412
3.650000095,0,0,0,0,8.416666985
15.1833334,10.85000038,0,5.233333111,15.1833334,8.550000191
8.866666794,6.216667175,0,6.216667175,8.866666794,7.699999809
1.333333373,0.716666698,0,0.716666698,0.716666698,8.083333015
16.43333244,10.41666698,0,6.400000095,6.400000095,8.050000191
0,0,1.074830174,0,0,0
26.35000038,31.43333244,0,33.43333435,33.43333435,10.14999962
3.416666746,7.116666317,3.724279642,16.76666641,3.266666651,7.366666794
4.949999809,4.599999905,0,4.949999809,4.949999809,8.133333206
0,0,1.369229436,0,0,13.66666698
4.733333588,4.733333588,2.026054382,11.64999962,6.433333397,8.149999619
3.200000048,0.649999976,4.733595848,0.649999976,3.200000048,7.950000286
10.55000019,0,6.723693848,0,9.883333206,8.016666412
7.933333397,5.766666889,2.983874321,13.3166666,7.933333397,7.983333111
4.650000095,3.100000143,124.1264038,3.100000143,3.100000143,7.716666698
0,0,0,0,0,0
6.333333492,8.399999619,2.151375294,3.933333397,6.333333492,7.666666508
0.716666639,0.716666639,6.851704121,0.716666639,0.716666639,7.299999714
6.066666603,8.683333397,280.4394531,8.683333397,6.066666603,7.68333292
8.416666985,1.966666698,6.465102196,1.966666698,3.516666651,7.633333206
3.633333445,0,5.17087841,0,8.333333015,8.883333206
6.300000191,6.300000191,0,8.700000763,6.300000191,7.983333588
20.23333359,23.09999847,0,27.19999886,20.23333359,10.71666622
6.066666603,6.566666603,240.1822815,12.78333378,6.066666603,7.599999905
8.216667175,8.216667175,2.158375502,8.216667175,8.216667175,8.216667175
15.64999962,15.75,0,11.64999962,15.64999962,10.03333378
9.199999809,8.699999809,6.169798851,2.483333349,9.199999809,12.48333359
15.61666679,15.61666679,0,15.61666679,15.61666679,8.25
7.300000191,8.116666794,0,8.116666794,8.116666794,7.733333111
0.449999988,0.449999988,1.20912075,0.449999988,0.449999988,7.583333015
2.216666698,0.899999976,0,0.899999976,2.216666698,8.783333778
0,0,2.505949736,0,0,0
9.183333397,9.183333397,6.750077248,9.183333397,9.183333397,7.93333292
0,0,5.815161705,0,0,7.699999809
16.58333397,26.73333359,1.288650155,10.61666679,16.58333397,7.900000095
4.283333302,6.550000191,1.011234879,3.616666794,6.550000191,7.916666985
5.083333492,5.083333492,6.923459053,5.633333206,5.633333206,7.766666889
5.816666603,6.25,1.026835561,9.183333397,6.25,8.033333778
1.116666675,2.066666603,1.121900678,2.066666603,2.066666603,7.616666317
6.800000191,6.800000191,3.345719337,6.25,6.25,7.56666708
10.41666603,14.78333282,359.037323,14.78333282,14.78333282,10.08333302
1.200000048,1.200000048,0,1.200000048,1.200000048,7.933333397
0,0,0,0,0,7.699999809
2.166666746,1.283333302,0,1.283333302,2.900000095,10.05000019
10.73333359,10.73333359,0,12.96666718,10.73333359,10.01666641
3.283333302,0,4.317988396,0,0,7.983333111
7.5,7.883333206,0,7.883333206,7.883333206,8.266666412
10.5666666,9.650000572,0,0,10.5666666,7.416666985
17.76666641,18.43333244,0,18.43333244,18.43333244,10.8166666
6.099999905,7.599999905,0,0.050000001,5.433333397,9.383333206
12.75,4,0,4,12.75,7.766666889
0,0,1.363340855,0,0,0
17.78333282,16.11666489,0,17.79999924,17.79999924,10.08333302
3.250660896,0,6.583982944,0,0,0
1.09848237,0,0,0,0,0
4.616366863,27.55000114,0,27.11666679,12.11666679,10.26666641
6.696180344,14.11666679,0,14.11666679,14.11666679,7.983333111
1.0518502,0,4.186167717,0,0,0
4.746808529,0,1.052697539,0,0,0
6.951965809,4.416666508,0,4.550000191,4.550000191,7.983333588
15.96397114,15.86666679,0,15.86666679,15.86666679,8.083333015
16.3016243,18.71666718,0,17.68333244,17.68333244,7.766666889
4.78511095,8.583333015,2.207586527,8.583333015,19.76666641,8.666666985
7.817006588,27.23333359,0,31.25000191,20.06666756,14.66666698
17.00158882,0,1.464072704,0,0,0
0,4.283333302,1.384299636,0.600000024,0.600000024,8.183333397
17.41508484,4.216666698,1.724204302,4.216666698,4.216666698,7.583333015
16.79084587,22.63333321,0,22.63333321,10.09999943,9.899999619
29.72807693,7.533333302,3.204540968,7.533333302,7.533333302,7.366666794
9.43261528,3.333333492,0,2.616666794,2.616666794,7.766666412
3.361733437,0,0,0,2.200000048,7.383333206
6.599390984,0,0,0,5.666666508,7.399999619
11.98908901,2.233333349,4.172380924,2.233333349,2.233333349,7.216666698
12.40732765,15.33333397,0,15.33333397,9.666666985,8.199999809
20.85041809,5.166666508,1.467682123,5.166666508,9.25,9.949999809
1.028199792,14.33333302,5.544709682,14.33333302,14.33333302,10.76666641
2.658661604,6.233333111,0,4,6.233333111,7.683333397
1.189024806,7.550000191,1.615059853,9.75,7.550000191,7.399999619
1.869343638,0,1.489851952,0,0,7.466666698
3.559350014,1.616666675,5.3288064,2.650000095,2.650000095,7.5
4.259544849,10.48333359,2.617390633,11.03333378,8.483333588,9.400000572
0,4.066666603,0,4.066666603,4.066666603,7.766666412
3.340854645,31.51666641,5.888845921,47.28333282,24.18333244,10.39999962
7.364631653,8.399999619,1.311152816,7.849999905,18.11666679,8.566666603
11.85938644,18.58333397,1.460487366,18.58333397,18.58333397,8.733333588
7.602126122,25.91666603,4.687232018,26.63333321,26.63333321,11.78333378
