discomfort,inefficiency,overall,unfairness,travel,queue,wait,energy
0.212990052,3.953095742,4.166085793,0.666522769,1.340600196,0.415431576,0.549491595,109.48
0.16853847,3.044345234,3.212883704,0.703777331,1.113933686,0.091224998,0.202618366,122.18
0.077437257,2.15014312,2.227580377,0.671963126,0.47043147,0.005629144,0.052672291,141.48
0.095869349,1.554963282,1.650832631,0.615360088,0.275372477,0.011299717,0.038836965,161.21
0.104795737,1.177573227,1.282368964,0.558607501,0.233546621,0.019039204,0.042393866,166.58
0.039130982,0.689299176,0.719776749,0.036590869,0.233960452,0.303148111,0.318092354,24.53
0.043229126,0.538195427,0.571798061,0.045488374,0.27692381,0.090862427,0.111742839,27.66
0.04093743,0.363477966,0.374882729,0.064234548,0.133379022,0.009215506,0.017712228,25.63
0.0632434,0.28978088,0.277363673,0.053492012,0.048981846,0.018652936,0.018661071,36.75
0.057774534,0.230807494,0.239659941,0.05635071,0.056270673,0.021315692,0.023261432,33.45
